gridx	gridy	x	y
3836	7847	959000	1961750
3833	7834	958250	1958500
3827	7845	956750	1961250
3771	7778	942750	1944500
3781	7777	945250	1944250
3842	7796	960500	1949000
3855	7821	963750	1955250
3838	7825	959500	1956250
3872	7799	968000	1949750
3851	7806	962750	1951500
3790	7811	947500	1952750
3829	7841	957250	1960250
3876	7793	969000	1948250
3792	7757	948000	1939250
3792	7756	948000	1939000
3854	7823	963500	1955750
3855	7822	963750	1955500
3855	7823	963750	1955750
3848	7820	962000	1955000
3821	7796	955250	1949000
3834	7841	958500	1960250
3759	7811	939750	1952750
3753	7814	938250	1953500
3752	7814	938000	1953500
3786	7769	946500	1942250
3793	7825	948250	1956250
3794	7818	948500	1954500
3797	7833	949250	1958250
3793	7832	948250	1958000
3870	7777	967500	1944250
3816	7801	954000	1950250
3831	7839	957750	1959750
3830	7839	957500	1959750
3817	7798	954250	1949500
3824	7797	956000	1949250
3838	7814	959500	1953500
3785	7764	946250	1941000
3823	7820	955750	1955000
3823	7821	955750	1955250
3847	7829	961750	1957250
3846	7829	961500	1957250
3843	7798	960750	1949500
3843	7797	960750	1949250
3817	7806	954250	1951500
3816	7806	954000	1951500
3815	7805	953750	1951250
3764	7794	941000	1948500
3857	7800	964250	1950000
3854	7816	963500	1954000
3833	7781	958250	1945250
3844	7793	961000	1948250
3849	7843	962250	1960750
3850	7848	962500	1962000
3829	7819	957250	1954750
3852	7825	963000	1956250
3851	7825	962750	1956250
3852	7832	963000	1958000
3842	7795	960500	1948750
3838	7824	959500	1956000
3817	7807	954250	1951750
3849	7833	962250	1958250
3849	7794	962250	1948500
3860	7798	965000	1949500
3843	7808	960750	1952000
3863	7766	965750	1941500
3836	7828	959000	1957000
3821	7774	955250	1943500
3758	7804	939500	1951000
3768	7770	942000	1942500
3775	7780	943750	1945000
3767	7796	941750	1949000
3770	7796	942500	1949000
3770	7795	942500	1948750
3762	7806	940500	1951500
3836	7851	959000	1962750
3837	7784	959250	1946000
3789	7831	947250	1957750
3835	7822	958750	1955500
3808	7828	952000	1957000
3809	7828	952250	1957000
3809	7829	952250	1957250
3809	7830	952250	1957500
3810	7829	952500	1957250
3807	7829	951750	1957250
3807	7828	951750	1957000
3806	7829	951500	1957250
3808	7829	952000	1957250
3807	7830	951750	1957500
3771	7774	942750	1943500
3771	7773	942750	1943250
3810	7813	952500	1953250
3796	7807	949000	1951750
3811	7813	952750	1953250
3807	7772	951750	1943000
3798	7806	949500	1951500
3849	7824	962250	1956000
3792	7803	948000	1950750
3786	7761	946500	1940250
3787	7760	946750	1940000
3786	7760	946500	1940000
3809	7819	952250	1954750
3766	7792	941500	1948000
3778	7801	944500	1950250
3784	7788	946000	1947000
3810	7830	952500	1957500
3813	7836	953250	1959000
3791	7801	947750	1950250
3806	7828	951500	1957000
3809	7835	952250	1958750
3809	7834	952250	1958500
3806	7830	951500	1957500
3806	7831	951500	1957750
3807	7831	951750	1957750
3841	7825	960250	1956250
3809	7827	952250	1956750
3807	7832	951750	1958000
3806	7832	951500	1958000
3806	7827	951500	1956750
3806	7826	951500	1956500
3840	7766	960000	1941500
3840	7767	960000	1941750
3798	7831	949500	1957750
3797	7831	949250	1957750
3769	7802	942250	1950500
3765	7805	941250	1951250
3854	7813	963500	1953250
