gridx	gridy	x	y
9542	19527	954200	1952700
9543	19527	954300	1952700
9523	19550	952300	1955000
9631	19520	963100	1952000
9618	19487	961800	1948700
9534	19420	953400	1942000
9535	19420	953500	1942000
9552	19514	955200	1951400
9553	19514	955300	1951400
9554	19514	955400	1951400
9424	19451	942400	1945100
9629	19521	962900	1952100
9628	19521	962800	1952100
9639	19488	963900	1948800
9615	19491	961500	1949100
9596	19530	959600	1953000
9570	19617	957000	1961700
9677	19512	967700	1951200
9682	19479	968200	1947900
9671	19505	967100	1950500
9671	19504	967100	1950400
9474	19437	947400	1943700
9604	19537	960400	1953700
9623	19510	962300	1951000
9511	19498	951100	1949800
9509	19500	950900	1950000
9528	19414	952800	1941400
9583	19449	958300	1944900
9582	19449	958200	1944900
9484	19464	948400	1946400
9636	19496	963600	1949600
9625	19513	962500	1951300
9629	19510	962900	1951000
9570	19601	957000	1960100
9568	19611	956800	1961100
9485	19507	948500	1950700
9625	19548	962500	1954800
9580	19518	958000	1951800
9580	19517	958000	1951700
9486	19433	948600	1943300
9592	19611	959200	1961100
9556	19541	955600	1954100
9555	19541	955500	1954100
9555	19540	955500	1954000
9555	19542	955500	1954200
9556	19542	955600	1954200
9543	19529	954300	1952900
9542	19529	954200	1952900
9542	19530	954200	1953000
9541	19530	954100	1953000
9561	19530	956100	1953000
9532	19536	953200	1953600
9532	19535	953200	1953500
9533	19536	953300	1953600
9555	19543	955500	1954300
9544	19530	954400	1953000
9543	19530	954300	1953000
9544	19531	954400	1953100
9544	19529	954400	1952900
9562	19530	956200	1953000
9562	19529	956200	1952900
9461	19412	946100	1941200
9461	19411	946100	1941100
9556	19543	955600	1954300
9555	19544	955500	1954400
9556	19544	955600	1954400
9563	19530	956300	1953000
9563	19529	956300	1952900
9547	19532	954700	1953200
9547	19533	954700	1953300
9547	19534	954700	1953400
9548	19532	954800	1953200
9550	19533	955000	1953300
9549	19533	954900	1953300
9541	19542	954100	1954200
9541	19543	954100	1954300
9555	19545	955500	1954500
9550	19540	955000	1954000
9552	19539	955200	1953900
9551	19541	955100	1954100
9551	19542	955100	1954200
9551	19534	955100	1953400
9551	19535	955100	1953500
9551	19533	955100	1953300
9550	19534	955000	1953400
9549	19535	954900	1953500
9564	19529	956400	1952900
9549	19534	954900	1953400
9542	19544	954200	1954400
9551	19532	955100	1953200
9552	19536	955200	1953600
9552	19537	955200	1953700
9551	19537	955100	1953700
9551	19538	955100	1953800
9551	19539	955100	1953900
9565	19527	956500	1952700
9565	19528	956500	1952800
9541	19544	954100	1954400
9543	19545	954300	1954500
9552	19535	955200	1953500
9552	19533	955200	1953300
9565	19526	956500	1952600
9566	19527	956600	1952700
9565	19525	956500	1952500
9556	19539	955600	1953900
9556	19545	955600	1954500
9556	19546	955600	1954600
9566	19525	956600	1952500
9567	19524	956700	1952400
9566	19524	956600	1952400
9557	19545	955700	1954500
9557	19546	955700	1954600
9557	19547	955700	1954700
9543	19523	954300	1952300
9551	19540	955100	1954000
9550	19535	955000	1953500
9528	19530	952800	1953000
9527	19530	952700	1953000
9528	19548	952800	1954800
9555	19539	955500	1953900
9556	19540	955600	1954000
9551	19536	955100	1953600
9534	19532	953400	1953200
9533	19532	953300	1953200
9544	19526	954400	1952600
9544	19527	954400	1952700
9551	19531	955100	1953100
9554	19531	955400	1953100
9554	19530	955400	1953000
9533	19533	953300	1953300
9534	19533	953400	1953300
9554	19541	955400	1954100
9554	19542	955400	1954200
9554	19540	955400	1954000
9553	19542	955300	1954200
9557	19530	955700	1953000
9533	19534	953300	1953400
9532	19534	953200	1953400
9532	19533	953200	1953300
9552	19543	955200	1954300
9554	19543	955400	1954300
9550	19543	955000	1954300
9553	19544	955300	1954400
9551	19544	955100	1954400
9550	19544	955000	1954400
9552	19545	955200	1954500
9552	19544	955200	1954400
9542	19528	954200	1952800
9543	19528	954300	1952800
9558	19530	955800	1953000
9558	19531	955800	1953100
9533	19535	953300	1953500
9551	19545	955100	1954500
9550	19545	955000	1954500
9553	19543	955300	1954300
9549	19543	954900	1954300
9541	19528	954100	1952800
9576	19594	957600	1959400
9576	19593	957600	1959300
9626	19587	962600	1958700
9627	19587	962700	1958700
9613	19622	961300	1962200
9387	19521	938700	1952100
9684	19491	968400	1949100
9668	19482	966800	1948200
9668	19483	966800	1948300
9396	19494	939600	1949400
9397	19494	939700	1949400
